"personenkonto";"rechnungsnr";"buchdatum";"gkonto";"belegnr";"extbelegnr";"belegdatum";"prozent";"steuercode";"buchcode";"betrag";"steuer";"buchsymbol";"konto";"verbuchkz";"gegenbuchkz";"netto";"kost";"text"
20010;"RE-2026-00183";;;00183;"";;;;;-216,00;-43,20;;4000;"A";"E";-216,00;00183;"RE-2026-00183"
20011;"RE-2026-00184";;;00184;"";;;;;-108,91;-21,79;;4000;"A";"E";-108,91;00184;"RE-2026-00184"
200104;"RE-2026-00185";;;00185;"";;;;;-84,51;-16,90;;4000;"A";"E";-84,51;00185;"RE-2026-00185"
20012;"RE-2026-00186";;;00186;"";;;;;-56,34;-11,27;;4000;"A";"E";-56,34;00186;"RE-2026-00186"
20013;"RE-2026-00187";;;00187;"";;;;;-226,00;-45,20;;4000;"A";"E";-226,00;00187;"RE-2026-00187"
200091;"RE-2026-00188";;;00188;"";;;;;-34,92;-6,98;;4003;"A";"E";-34,92;00188;"RE-2026-00188"
200263;"RE-2026-00189";;;00189;"";;;;;-73,81;-11,78;;4006;"A";"E";-73,81;00189;"RE-2026-00189"
200026;"RE-2026-00190";;;00190;"";;;;;-47,89;-9,58;;4000;"A";"E";-47,89;00190;"RE-2026-00190"
200015;"RE-2026-00191";;;00191;"";;;;;-28,17;-5,63;;4000;"A";"E";-28,17;00191;"RE-2026-00191"
200048;"RE-2026-00192";;;00192;"";;;;;-19,68;-2,96;;4012;"A";"E";-19,68;00192;"RE-2026-00192"
20014;"RE-2026-00193";;;00193;"";;;;;-42,97;-8,59;;4000;"A";"E";-42,97;00193;"RE-2026-00193"
200198;"RE-2026-00194";;;00194;"";;;;;-202,82;-40,56;;4000;"A";"E";-202,82;00194;"RE-2026-00194"
20007;"RE-2026-00195";;;00195;"";;;;;-766,22;-153,24;;4000;"A";"E";-766,22;00195;"RE-2026-00195"
20016;"RE-2026-00196";;;00196;"";;;;;-59,84;-11,97;;4000;"A";"E";-59,84;00196;"RE-2026-00196"
20017;"RE-2026-00197";;;00197;"";;;;;-24,83;-4,97;;4000;"A";"E";-24,83;00197;"RE-2026-00197"
200227;"RE-2026-00198";;;00198;"";;;;;-957,78;-191,56;;4000;"A";"E";-957,78;00198;"RE-2026-00198"
20018;"RE-2026-00199";;;00199;"";;;;;-49,66;-9,93;;4000;"A";"E";-49,66;00199;"RE-2026-00199"
200096;"RE-2026-00200";;;00200;"";;;;;-266,58;-53,32;;4000;"A";"E";-266,58;00200;"RE-2026-00200"
200069;"RE-2026-00201";;;00201;"";;;;;-136,34;-27,27;;4850;"A";"E";-136,34;00201;"RE-2026-00201"
